date	platform	post_url	link_type	anchor	anchor_type	target_url	indexed	visits_30d	goals_30d	note
2026-07-30	youtube.com	https://www.youtube.com/watch?v=JHyfM_wVD_E	nofollow	https://sreda.men/blog/lovushka-kormiltsa	naked	https://sreda.men/blog/lovushka-kormiltsa	pending			описание ролика; обрамляющий текст «подробный разбор» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=P5ihhGF27Fo	nofollow	https://sreda.men/blog/muzhskoy-krug-chto-eto	naked	https://sreda.men/blog/muzhskoy-krug-chto-eto	pending			описание ролика; обрамляющий текст «мужской круг» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=Bq4YvrRZd4Y	nofollow	https://sreda.men/blog/kak-perestat-kopit-zlobu	naked	https://sreda.men/blog/kak-perestat-kopit-zlobu	pending			описание ролика; обрамляющий текст ««Мужская среда»» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=PV138Xc94UM	nofollow	https://sreda.men/blog/pochemu-muzhchiny-skryvayut-emocii	naked	https://sreda.men/blog/pochemu-muzhchiny-skryvayut-emocii	pending			описание ролика; обрамляющий текст «в этой статье» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=PHdg6U57lOU	nofollow	https://sreda.men/blog/trevoga-i-kontrol	naked	https://sreda.men/blog/trevoga-i-kontrol	pending			описание ролика; обрамляющий текст «сообщество «Мужская среда»» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=Cza4HESbLMk	nofollow	https://sreda.men/blog/ne-s-kem-pogovorit	naked	https://sreda.men/blog/ne-s-kem-pogovorit	pending			описание ролика; обрамляющий текст «вот здесь» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=yb7g3u8kiB4	nofollow	https://sreda.men/blog/prilozheniya-dlya-mentalnogo-zdorovya	naked	https://sreda.men/blog/prilozheniya-dlya-mentalnogo-zdorovya	pending			описание ролика; обрамляющий текст «голый URL» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=7DvxhY5qNyc	nofollow	https://sreda.men/blog/propalo-zhelanie-v-otnosheniyah	naked	https://sreda.men/blog/propalo-zhelanie-v-otnosheniyah	pending			описание ролика; обрамляющий текст ««Мужская среда»» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=k8d-w8bz19A	nofollow	https://sreda.men/blog/pochemu-muzhchiny-ne-obrashchayutsya-za-pomoshchyu	naked	https://sreda.men/blog/pochemu-muzhchiny-ne-obrashchayutsya-za-pomoshchyu	pending			описание ролика; обрамляющий текст «подробный разбор» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=p3yblxZLy00	nofollow	https://sreda.men/blog/kak-nayti-druzey-vzroslomu-muzhchine	naked	https://sreda.men/blog/kak-nayti-druzey-vzroslomu-muzhchine	pending			описание ролика; обрамляющий текст «сообщество «Мужская среда»» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=lPqmPC-ivog	nofollow	https://sreda.men/blog/ne-mogu-rasslabitsya	naked	https://sreda.men/blog/ne-mogu-rasslabitsya	pending			описание ролика; обрамляющий текст «в этой статье» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=I2sGt70krXc	nofollow	https://sreda.men/blog/pochemu-u-muzhchin-net-blizkih-druzey	naked	https://sreda.men/blog/pochemu-u-muzhchin-net-blizkih-druzey	pending			описание ролика; обрамляющий текст ««Мужская среда»» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=rLdlTR84CUw	nofollow	https://sreda.men/blog/informatsionnaya-peregruzka	naked	https://sreda.men/blog/informatsionnaya-peregruzka	pending			описание ролика; обрамляющий текст «голый URL» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=LF_Gt4MzNlc	nofollow	https://sreda.men/blog/pornozavisimost	naked	https://sreda.men/blog/pornozavisimost	pending			описание ролика; обрамляющий текст «sreda.men» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=pKvhPA_itIk	nofollow	https://sreda.men/blog/alkogol-kazhdyy-vecher	naked	https://sreda.men/blog/alkogol-kazhdyy-vecher	pending			описание ролика; обрамляющий текст «вот здесь» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=IgfZZhRrkUw	nofollow	https://sreda.men/blog/soobshchestvo-dlya-muzhchin	naked	https://sreda.men/blog/soobshchestvo-dlya-muzhchin	pending			описание ролика; обрамляющий текст «онлайн-сообщество для мужчин» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=Sl4OUAvTQS8	nofollow	https://sreda.men/blog/net-druzey-posle-30	naked	https://sreda.men/blog/net-druzey-posle-30	pending			описание ролика; обрамляющий текст ««Мужская среда»» — не анкор, YouTube анкоры не поддерживает
2026-07-30	youtube.com	https://www.youtube.com/watch?v=fd36urHRH-g	nofollow	https://sreda.men/blog/ne-vizhu-smysla-v-tom-chto-delayu	naked	https://sreda.men/blog/ne-vizhu-smysla-v-tom-chto-delayu	pending			описание ролика; обрамляющий текст ««Мужская среда»» — не анкор, YouTube анкоры не поддерживает
